date,max_temp,min_temp
2026-08-05,29.1,26.9
2026-08-06,28.7,28.5
2026-08-07,28.7,27.9
2026-08-08,29.2,28.0
2026-08-09,29.2,27.2
2026-08-10,28.9,28.3
2026-08-11,28.7,27.4
